Fytoken,Symbol Details,Exchange Instrument type,Minimum lot size,Tick size,ISIN,Last update date,Expiry date,Symbol ticker,Exchange,Segment,Scrip code,Underlying scrip code,Strike price,Option type
101123021635936,NIFTY 23 Feb 16 14600 CE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614600CE,10,11,35936,NIFTY,14600.0,CE
101123021635937,NIFTY 23 Feb 16 14600 PE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614600PE,10,11,35937,NIFTY,14600.0,PE
101123021635939,NIFTY 23 Feb 16 14650 CE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614650CE,10,11,35939,NIFTY,14650.0,CE
101123021635940,NIFTY 23 Feb 16 14650 PE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614650PE,10,11,35940,NIFTY,14650.0,PE
101123021635942,NIFTY 23 Feb 16 14700 CE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614700CE,10,11,35942,NIFTY,14700.0,CE
101123021635943,NIFTY 23 Feb 16 14700 PE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614700PE,10,11,35943,NIFTY,14700.0,PE
101123021635947,NIFTY 23 Feb 16 14750 CE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614750CE,10,11,35947,NIFTY,14750.0,CE
101123021635948,NIFTY 23 Feb 16 14750 PE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614750PE,10,11,35948,NIFTY,14750.0,PE
101123021635955,NIFTY 23 Feb 16 14800 PE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614800PE,10,11,35955,NIFTY,14800.0,PE
101123021635953,NIFTY 23 Feb 16 14800 CE,14,50,0.05,0915-1530|1815-1915:1,2023-02-09,2023-02-16,NSE:NIFTY2321614800CE,10,11,35953,NIFTY,14800.0,CE
